feature,mean_abs_shap
c_Xpc-5d,0.03968883303580233
c_ATS4i,0.03964736171937654
c_ATSC3v,0.03946608289960503
c_ATS3i,0.03945758168728335
c_BalabanJ,0.03938588357949484
nc_SlogP_VSA1,0.03924922738428076
nc_Xch-5dv,0.039164283733852764
nc_GGI5,0.03910905073933521
c_AMID_C,0.03910115430859345
nc_piPC10,0.03897752985889722
nc_JGT10,0.03888889464869566
c_ATSC0i,0.038844040918381235
nc_Xc-6dv,0.03868984378680523
c_ATSC8p,0.038645943292199204
nc_ATSC8i,0.03840698474707067
nc_SlogP_VSA3,0.03839405369113979
nc_EState_VSA2,0.03836152692491467
c_MID_h,0.0383306430331411
nc_TIC4,0.03827232493747585
nc_ATSC7dv,0.03826562710238473
nc_Xch-7d,0.03819717260664101
c_MIC4,0.03772096331408634
c_ATS8pe,0.03747668534630541
c_SpMax_A,0.03740629390797396
c_ATSC5i,0.0373458768798189
nc_piPC3,0.03713824365976242
c_ZMIC3,0.0370851543667212
nc_SIC4,0.03689054442714395
c_BCUTp-1h,0.03667570922441297
nc_MPC8,0.036529741297540774
nc_MPC10,0.036193235867068185
nc_TIC3,0.03591484713454171
c_Xp-1dv,0.0356097072913384
nc_ATS8m,0.03560800160775147
c_JGI2,0.03554864983699391
nc_ATS4d,0.03553760477304073
c_CIC4,0.03532632028837379
nc_MPC9,0.03532162763114454
nc_ATS0v,0.03523511150437578
c_ETA_epsilon_1,0.03508352499428429
nc_PEOE_VSA3,0.03500748309782323
nc_ATS0Z,0.034990999875442304
nc_ATS5m,0.03496885750002521
c_VSA_EState5,0.03489842573191116
c_ATS2Z,0.0348832716777736
nc_Xpc-5d,0.03484145478449788
c_ATSC7dv,0.034819975343223286
c_AATSC0Z,0.034746401910465345
c_ATSC4i,0.03464640698711375
nc_Xp-1dv,0.03459931118959567
c_Xp-2dv,0.03456306571879025
c_MIC2,0.034497401275349095
nc_nHRing,0.034433754358225904
nc_SIC1,0.03441283075786159
c_Xp-5dv,0.03430564015583703
c_GGI7,0.0342834092058992
c_ETA_epsilon_2,0.03424779958617028
nc_JGI9,0.03420647371723514
nc_MIC5,0.034202029893966465
nc_IC4,0.03414402186757614
c_BCUTv-1l,0.034111016217972134
c_TIC3,0.03409259609159092
nc_C3SP3,0.03381235721321758
c_EState_VSA6,0.033659282740681
c_Xp-7d,0.03340943540049402
nc_GGI9,0.03324136031656041
nc_ATSC6m,0.0331136578974477
nc_VSA_EState8,0.033031061068567596
nc_ZMIC4,0.03296234892643745
nc_AATSC0d,0.03284721039963336
c_SsssCH,0.03282268613093733
nc_ATSC8v,0.03259055848470085
c_SpMAD_DzZ,0.032525416969645046
nc_Mv,0.032406078125648934
c_TopoPSA(NO),0.03229504860925399
nc_ATS7v,0.032193434407079245
nc_ATS0p,0.03218309040335322
nc_GGI2,0.03215137603446743
c_ATSC0Z,0.031888221899184895
c_ATSC5v,0.031880795858042564
c_MIC3,0.03183494368653546
c_ZMIC5,0.03178631530352725
c_ETA_beta,0.03168687416936785
c_ATS3Z,0.031576272792492914
c_ATSC2m,0.03155243592331796
nc_n6AHRing,0.03147338486985544
c_AATSC0d,0.0314539276235075
nc_SsOH,0.031432479230694935
nc_bpol,0.03141524883950423
c_SpMAD_A,0.031027040927207653
nc_TIC0,0.030832114363438672
nc_ZMIC5,0.030791901834212744
nc_ATS8d,0.03062557718454148
nc_AATSC0dv,0.030596885958334135
c_JGI4,0.03052524880798566
nc_nHBDon,0.03045002471529665
nc_ATS3i,0.030264184051275133
nc_GGI8,0.030222295840299087
c_ATS6i,0.030127998205752304
c_SpDiam_A,0.030074257862896255
nc_ATS4dv,0.03001620723459911
c_AATSC0dv,0.02993208749313227
nc_Xpc-6d,0.02985899828691028
c_ATSC0dv,0.02975386608854372
nc_nBondsD,0.02972057739622895
c_piPC3,0.02959448943759539
nc_nX,0.029588784956204824
nc_AATSC0pe,0.02954713617554516
nc_SssO,0.029433543027337493
nc_ATSC4m,0.029417926218821153
c_CIC0,0.02940296169861296
c_EState_VSA1,0.02906965093689319
nc_IC0,0.029024768951819668
c_CIC1,0.028979171761428862
